StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
4,3085,TideGate,UnkAnad,77617.39,0.5
4,3089,Dam,Unknown,487195.2,0.1
4,3111,Falls,Unknown,455041.93,0.5
4,3144,Culvert,Blocked,108847.2,0.1
4,3182,Culvert,Unknown,108847.2,0.1
4,3195,Culvert,Blocked,108847.2,0.1
4,3204,Culvert,Unknown,108847.2,0.1
4,3204,Culvert,Unknown,108847.2,0.1
4,3204,Culvert,Blocked,108847.2,0.1
4,3204,Culvert,Blocked,108847.2,0.1
4,3206,TideGate,UnkAnad,77617.39,0.5
4,3227,Falls,Blocked,455041.93,0.1
4,3376,Falls,Unknown,455041.93,0.5
4,3454,Culvert,Partial,108847.2,0.5
4,3526,Falls,Unknown,455041.93,0.5
4,3551,Culvert,Unknown,108847.2,0.1
4,3567,Culvert,Passable,108847.2,1
4,3609,Culvert,UnkAnad,108847.2,0.1
4,3635,Culvert,Unknown,108847.2,0.1
4,3657,Culvert,Blocked,108847.2,0.1
4,3663,TideGate,UnkAnad,77617.39,0.5
4,3667,TideGate,UnkAnad,77617.39,0.5
4,3712,Culvert,Blocked,108847.2,0.1
4,3783,Culvert,UnkAnad,108847.2,0.1
4,3784,TideGate,UnkAnad,77617.39,0.5
4,3819,Bridge,Unknown,370171,0.1
4,4281,Culvert,Passable,108847.2,1
4,4378,Culvert,Unknown,108847.2,0.1
4,4384,CascadeGradientVelocity,UnkAnad,455041.93,0.1
4,4418,Culvert,Partial,108847.2,0.5
4,4421,Culvert,Partial,108847.2,0.5
4,4421,Culvert,Partial,108847.2,0.5
4,4462,Bridge,Unknown,370171,0.1
4,4467,Culvert,Passable,108847.2,1
4,4469,Culvert,Unknown,108847.2,0.1
4,4472,Culvert,Passable,108847.2,1
4,4501,Culvert,Unknown,108847.2,0.1
4,4503,Bridge,Unknown,370171,0.1
4,4537,Culvert,Unknown,108847.2,0.1
4,4537,Culvert,Unknown,108847.2,0.1
4,4645,TideGate,UnkAnad,77617.39,0.5
4,4718,Culvert,Unknown,108847.2,0.1
4,4796,Culvert,Blocked,108847.2,0.1
4,4867,Culvert,Unknown,108847.2,0.1
4,4910,Culvert,Unknown,108847.2,0.1
4,4910,Culvert,Unknown,108847.2,0.1
4,5067,Falls,Blocked,455041.93,0.1
4,5103,Falls,Blocked,455041.93,0.1
4,5274,TideGate,UnkAnad,77617.39,0.5
4,5278,Culvert,Unknown,108847.2,0.1
4,5707,Falls,Unknown,455041.93,0.5
4,5803,Culvert,Partial,108847.2,0.5
4,5809,Culvert,Unknown,108847.2,0.1
4,5809,Culvert,Unknown,108847.2,0.1
4,5858,Bridge,Unknown,370171,0.1
4,5869,Culvert,Blocked,108847.2,0.1
4,5897,Dam,UnkAnad,487195.2,0.1
4,5909,Bridge,Unknown,370171,0.1
4,5996,Bridge,Unknown,370171,0.1
4,6004,TideGate,UnkAnad,77617.39,0.5
4,6115,Culvert,Unknown,108847.2,0.1
4,6234,TideGate,UnkAnad,77617.39,0.5
4,6335,Culvert,Passable,108847.2,1
4,6467,Culvert,Unknown,108847.2,0.1
4,6787,Bridge,Unknown,370171,0.1
4,6820,TideGate,UnkAnad,77617.39,0.5
4,7039,Culvert,Unknown,108847.2,0.1
4,7101,Culvert,Blocked,108847.2,0.1
4,7147,Falls,UnkAnad,455041.93,0.5
4,7281,Culvert,Unknown,108847.2,0.1
4,7285,Culvert,Passable,108847.2,1
4,7397,Culvert,Passable,108847.2,1
4,7499,Culvert,Partial,108847.2,0.5
4,7578,Culvert,Passable,108847.2,1
4,7587,Bridge,Unknown,370171,0.1
4,7587,TideGate,UnkAnad,77617.39,0.5
4,7647,Culvert,Unknown,108847.2,0.1
4,7759,Culvert,Passable,108847.2,1
4,7769,Culvert,Unknown,108847.2,0.1
4,7936,Bridge,Unknown,370171,0.1
4,7946,CascadeGradientVelocity,Partial,455041.93,0.5
4,7997,Falls,Blocked,455041.93,0.1
4,8136,Falls,Blocked,455041.93,0.1
4,8167,Culvert,Passable,108847.2,1
4,8202,TideGate,UnkAnad,77617.39,0.5
4,8350,Culvert,Partial,108847.2,0.5
4,8455,Culvert,Passable,108847.2,1
4,8505,Falls,UnkAnad,455041.93,0.5
5,8645,Culvert,Partial,108847.2,0.5
5,8866,Culvert,Passable,108847.2,1
5,8919,Bridge,Unknown,370171,0.1
5,8941,Culvert,Unknown,108847.2,0.1
5,8959,Culvert,UnkAnad,108847.2,0.1
5,8959,Culvert,UnkAnad,108847.2,0.1
5,8959,Culvert,Partial,108847.2,0.5
5,8959,CascadeGradientVelocity,Blocked,455041.93,0.1
5,8980,Culvert,Passable,108847.2,1
5,9049,Falls,Blocked,455041.93,0.1
5,9058,Culvert,Passable,108847.2,1
5,9098,TideGate,UnkAnad,77617.39,0.5
5,9148,Culvert,Blocked,108847.2,0.1
5,9199,Culvert,Blocked,108847.2,0.1
5,9333,Culvert,Unknown,108847.2,0.1
5,9652,Culvert,Unknown,108847.2,0.1
5,9661,TideGate,UnkAnad,77617.39,0.5
5,10189,TideGate,UnkAnad,77617.39,0.5
5,11024,Culvert,Unknown,108847.2,0.1
5,11024,Culvert,Unknown,108847.2,0.1
5,11024,Culvert,Unknown,108847.2,0.1
5,11024,Culvert,Unknown,108847.2,0.1
5,11338,Culvert,Blocked,108847.2,0.1
5,11381,Culvert,Unknown,108847.2,0.1
5,11381,Culvert,Blocked,108847.2,0.1
5,11381,Falls,Blocked,455041.93,0.1
5,11441,Culvert,Blocked,108847.2,0.1
5,11468,Bridge,Unknown,370171,0.1
5,11481,Culvert,Unknown,108847.2,0.1
5,11520,Culvert,Unknown,108847.2,0.1
5,11520,Culvert,Blocked,108847.2,0.1
5,11623,Culvert,Passable,108847.2,1
5,11626,Culvert,Blocked,108847.2,0.1
5,11756,Culvert,Passable,108847.2,1
5,12900,Culvert,Blocked,108847.2,0.1
5,13030,Culvert,Unknown,108847.2,0.1
5,13030,Culvert,Passable,108847.2,1
5,13048,Culvert,Unknown,108847.2,0.1
5,13070,Falls,Unknown,455041.93,0.5
5,13124,Culvert,Passable,108847.2,1
5,13124,Culvert,Passable,108847.2,1
5,13382,Bridge,Unknown,370171,0.1
5,13623,Culvert,Blocked,108847.2,0.1
5,14143,Culvert,Blocked,108847.2,0.1
5,14277,Culvert,Unknown,108847.2,0.1
5,14505,Falls,Blocked,455041.93,0.1
5,14884,Culvert,Passable,108847.2,1
6,15249,Culvert,Blocked,108847.2,0.1
6,15693,Culvert,Unknown,108847.2,0.1
6,16478,Culvert,Blocked,108847.2,0.1
6,16781,Culvert,Unknown,108847.2,0.1
6,17066,Culvert,Passable,108847.2,1
6,17400,Culvert,Passable,108847.2,1
6,17479,Culvert,Partial,108847.2,0.5
6,17989,Culvert,Blocked,108847.2,0.1
6,18010,Culvert,Unknown,108847.2,0.1
7,18894,Falls,Blocked,455041.93,0.1
