StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
4,5002,-123.8870361,43.75548405,Falls,UnkAnad,455041.93,0.5
4,5044,-124.1456937,43.68614269,Culvert,Unknown,108847.2,0.1
4,5082,-123.809817,43.57794191,Culvert,Partial,108847.2,0.5
4,5082,-123.808106,43.57963078,Falls,Blocked,455041.93,0.1
4,5139,-123.9822836,43.79103587,TideGate,Unknown,77617.39,0.5
4,5183,-123.4733087,43.79993541,Culvert,Blocked,108847.2,0.1
4,5539,-123.3290738,43.75688404,Culvert,UnkAnad,108847.2,0.1
4,5571,-124.026608,43.65101208,CascadeGradientVelocity,Partial,455041.93,0.5
4,5709,-124.023235,43.65068667,Falls,Partial,455041.93,0.5
4,5730,-123.7108106,43.91419778,Falls,Unknown,455041.93,0.5
4,5751,-123.3197604,43.77944807,Culvert,Unknown,108847.2,0.1
4,5910,-123.7169355,43.5562028,Falls,Unknown,455041.93,0.5
4,6047,-124.112318,43.741683,Culvert,Unknown,108847.2,0.1
4,6047,-124.1112035,43.7403612,Culvert,Unknown,108847.2,0.1
4,6047,-124.1127897,43.74243025,Culvert,Unknown,108847.2,0.1
4,6047,-124.1125352,43.74209675,Culvert,Unknown,108847.2,0.1
4,6083,-123.9343339,43.67783998,Culvert,Unknown,108847.2,0.1
4,6138,-124.1543296,43.67955723,Culvert,Unknown,108847.2,0.1
4,6141,-123.8323263,43.5498527,Culvert,Blocked,108847.2,0.1
4,6199,-124.078051,43.67669179,Culvert,Passable,108847.2,1
4,6228,-123.7112202,43.73431698,Culvert,Blocked,108847.2,0.1
4,6274,-124.0456331,43.74391719,Culvert,Unknown,108847.2,0.1
4,6302,-123.7476726,43.81439595,Culvert,UnkAnad,108847.2,0.1
4,6697,-124.078051,43.67669179,Culvert,Passable,108847.2,1
4,7015,-123.5874885,43.75449867,Falls,UnkAnad,455041.93,0.5
4,7107,-123.8113846,43.59843323,Culvert,Blocked,108847.2,0.1
4,7136,-123.3502084,43.7680393,Culvert,Partial,108847.2,0.5
4,7279,-124.1477994,43.68427626,Culvert,Unknown,108847.2,0.1
4,7463,-124.1431087,43.68851429,Culvert,Unknown,108847.2,0.1
4,7551,-124.097353,43.64771579,Culvert,Passable,108847.2,1
4,7647,-123.5672742,43.83694346,Culvert,UnkAnad,108847.2,0.1
4,7680,-123.4696298,43.8022508,Culvert,Blocked,108847.2,0.1
4,7682,-124.079739,43.738481,Bridge,Unknown,370171,0.1
4,7689,-124.0646685,43.74295833,TideGate,Unknown,77617.39,0.5
