StrmLev,stream_ID,fpbFtrID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
3,737,29022,-123.8595746,43.26726029,Culvert,Blocked,108847.2,0.1
3,737,28663,-123.8595716,43.26724116,Falls,Blocked,455041.93,0.1
3,737,28664,-123.8610402,43.27079285,Falls,Blocked,455041.93,0.1
3,742,7956,-123.814061,43.27486068,Falls,UnkAnad,455041.93,0.5
3,742,8657,-123.8290524,43.2823098,CascadeGradientVelocity,Unknown,455041.93,0.1
3,742,28635,-123.8239622,43.28186092,Falls,Unknown,455041.93,0.5
3,742,28636,-123.8260357,43.28217987,Falls,Unknown,455041.93,0.5
3,742,28637,-123.8326626,43.28294672,Falls,Unknown,455041.93,0.5
3,742,2724,-123.8098696,43.27329594,Culvert,UnkAnad,108847.2,0.1
3,746,23713,-123.6627996,43.18460847,Culvert,Unknown,108847.2,0.1
3,748,5014,-124.1543219,43.28328543,Culvert,UnkAnad,108847.2,0.1
3,748,38513,-124.152069,43.282767,Bridge,Unknown,370171,0.1
3,752,8654,-124.0391038,43.47958304,Falls,UnkAnad,455041.93,0.5
3,752,7405,-124.0502318,43.47603272,Falls,UnkAnad,455041.93,0.5
3,752,28644,-124.0211599,43.48365185,Falls,UnkAnad,455041.93,0.5
3,752,28646,-123.9773818,43.52040184,Falls,UnkAnad,455041.93,0.5
3,752,28647,-123.94551,43.58545491,Falls,UnkAnad,455041.93,0.5
3,752,28648,-123.9212528,43.58214562,Falls,UnkAnad,455041.93,0.5
3,752,28650,-123.889869,43.57159045,Falls,UnkAnad,455041.93,0.5
3,752,28651,-123.88484,43.56633402,Falls,UnkAnad,455041.93,0.5
3,752,28652,-123.883352,43.55512863,Falls,Unknown,455041.93,0.5
3,752,33166,-124.031689,43.424739,Bridge,Unknown,370171,0.1
3,752,34985,-124.056664,43.47665,Bridge,Unknown,370171,0.1
3,752,36664,-123.931944,43.582394,Bridge,Unknown,370171,0.1
3,752,36665,-123.974397,43.524028,Bridge,Unknown,370171,0.1
3,752,36667,-123.959419,43.578861,Bridge,Unknown,370171,0.1
3,752,36668,-123.960711,43.581739,Bridge,Unknown,370171,0.1
