StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_scores
2,579,-123.9031292,45.97579994,Culvert,Partial,108847.2,0.5
2,581,-123.806764,45.9081,Bridge,Unknown,370171,0.1
2,581,-123.8071229,45.90773556,Dam,Passable,487195.2,1
2,584,-123.9243477,45.96073753,Culvert,Unknown,108847.2,0.1
2,585,-123.9069687,45.94577214,Culvert,Blocked,108847.2,0.1
2,586,-123.7978713,45.89984908,Culvert,Blocked,108847.2,0.1
2,587,-123.9301264,45.92600626,Culvert,UnkAnad,108847.2,0.1
2,587,-123.9263475,45.94594349,Ford,UnkAnad,108847.2,0.5
2,587,-123.9246465,45.94121663,Ford,UnkAnad,108847.2,0.5
2,587,-123.924609,45.94120743,Ford,UnkAnad,108847.2,0.5
2,587,-123.9247875,45.9417162,Culvert,UnkAnad,108847.2,0.1
2,587,-123.9268398,45.93380129,Culvert,Unknown,108847.2,0.1
2,587,-123.9293144,45.9502994,Culvert,Passable,108847.2,1
2,587,-123.9344764,45.92199992,Culvert,Partial,108847.2,0.5
2,587,-123.9268398,45.93380129,Culvert,Passable,108847.2,1
2,587,-123.9298494,45.92620089,Culvert,Partial,108847.2,0.5
2,588,-123.9181517,45.95915682,Dam,UnkAnad,487195.2,0.1
2,588,-123.9234089,45.96254291,Culvert,Partial,108847.2,0.5
2,588,-123.9178608,45.95905517,Dam,Partial,487195.2,0.5
2,590,-123.8942033,45.91877438,Bridge,Passable,370171,1
2,595,-123.9148368,45.93465213,Culvert,Passable,108847.2,1
2,597,-123.9208595,45.9655801,WeirSill,UnkAnad,190097.21,0.5
2,597,-123.920773,45.96552259,WeirSill,UnkAnad,190097.21,0.5
2,597,-123.9206803,45.96546114,WeirSill,UnkAnad,190097.21,0.5
2,597,-123.920711,45.965486,Bridge,Unknown,370171,0.1
2,597,-123.8623759,45.95578302,Culvert,Blocked,108847.2,0.1
2,597,-123.8565383,45.95679568,Culvert,Blocked,108847.2,0.1
