StrmLev,stream_ID,fpbFtrID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
3,431,28140,-123.9808642,43.23334421,WeirSill,Passable,0,1
3,431,28142,-123.9197995,43.24807353,WeirSill,Partial,0,0.5
3,431,28144,-123.8986982,43.24853636,WeirSill,Partial,0,0.5
3,431,28145,-123.898489,43.24873711,WeirSill,Partial,0,0.5
3,431,28146,-123.8982695,43.24911568,WeirSill,Partial,0,0.5
3,431,29275,-123.8783876,43.2569965,Culvert,Blocked,108847.2,0.1
3,431,4829,-123.999179,43.22998334,Falls,Partial,455041.93,0.5
3,431,12401,-123.8889167,43.25360262,Falls,Partial,455041.93,0.5
3,431,27874,-123.8795826,43.26968399,Falls,Blocked,455041.93,0.1
3,431,29276,-123.8786143,43.25672379,Falls,Partial,455041.93,0.5
3,431,2712,-123.8921189,43.25230636,Culvert,Partial,108847.2,0.5
3,435,8032,-124.2237773,43.0274814,Falls,Blocked,455041.93,0.1
3,437,9038,-124.2487411,43.10454614,Culvert,Partial,108847.2,0.5
3,437,45419,-124.2586483,43.11993329,Falls,Blocked,455041.93,0.1
3,439,2695,-123.9071355,43.03768279,Culvert,Unknown,108847.2,0.1
3,439,5765,-123.9198457,43.01915466,Culvert,Blocked,108847.2,0.1
3,439,27512,-123.9077689,43.03499581,Culvert,Partial,108847.2,0.5
3,439,27513,-123.9061931,43.03944108,Culvert,Blocked,108847.2,0.1
3,439,29306,-123.9070542,43.03844816,Falls,Blocked,455041.93,0.1
3,441,29330,-123.8561566,43.05381201,Ford,UnkAnad,108847.2,0.5
3,441,4331,-123.8443342,43.08366522,Falls,Unknown,455041.93,0.5
3,441,27885,-123.8540788,43.07479986,Falls,UnkAnad,455041.93,0.5
3,441,32897,-123.892028,43.005983,Bridge,Unknown,370171,0.1
3,441,35010,-123.866214,43.032822,Bridge,Unknown,370171,0.1
3,441,35012,-123.8592775,43.04796869,Bridge,Unknown,370171,0.1
3,441,27883,-123.8610272,43.04747086,Falls,UnkAnad,455041.93,0.5
3,441,4989,-123.8532058,43.07878884,Falls,Blocked,455041.93,0.1
3,441,27833,-123.8263186,43.08405607,Falls,Blocked,455041.93,0.1
3,441,27834,-123.8255933,43.08430321,Falls,Blocked,455041.93,0.1
3,441,27884,-123.8543697,43.07443358,Falls,Blocked,455041.93,0.1
3,441,29447,-123.8533181,43.0785233,Dam,Partial,487195.2,0.5
3,442,9752,-124.2209138,43.11557235,Culvert,Passable,108847.2,1
3,443,14911,-123.728555,42.990989,Culvert,Unknown,108847.2,0.1
3,447,5015,-123.7959453,43.1444317,Culvert,Unknown,108847.2,0.1
3,447,8672,-123.8947717,43.14753559,CascadeGradientVelocity,UnkAnad,455041.93,0.1
3,447,27490,-123.7050443,43.1448079,Culvert,Unknown,108847.2,0.1
3,447,27866,-123.7648094,43.14543457,Falls,Unknown,455041.93,0.5
3,447,27867,-123.734828,43.1435238,Falls,Unknown,455041.93,0.5
3,447,34988,-123.955331,43.152192,Bridge,Unknown,370171,0.1
3,447,35021,-124.017406,43.1172,Bridge,Unknown,370171,0.1
3,447,35596,-123.866189,43.143139,Bridge,Unknown,370171,0.1
3,447,36138,-123.689961,43.1317,Bridge,Unknown,370171,0.1
3,447,36139,-123.693011,43.132589,Bridge,Unknown,370171,0.1
3,447,38545,-123.798558,43.145275,Bridge,Unknown,370171,0.1
3,447,38546,-123.763181,43.145122,Bridge,Unknown,370171,0.1
3,447,27544,-123.7084661,43.1450793,Culvert,Partial,108847.2,0.5
3,447,7260,-123.8176934,43.15231488,Falls,Blocked,455041.93,0.1
3,448,27548,-124.0993192,43.18883247,Culvert,UnkAnad,108847.2,0.1
3,448,9910,-124.0950435,43.18780989,Culvert,Partial,108847.2,0.5
3,448,27549,-124.1078056,43.19159795,Culvert,Partial,108847.2,0.5
3,450,14910,-123.869861,42.983009,Culvert,Unknown,108847.2,0.1
3,451,5193,-124.1278341,42.75540897,Falls,UnkAnad,455041.93,0.5
3,454,5474,-124.0973021,43.15272609,Culvert,Blocked,108847.2,0.1
3,454,32736,-124.0961386,43.15512572,Culvert,Partial,108847.2,0.5
3,455,19235,-123.723993,43.01464999,Dam,Unknown,487195.2,0.1
3,455,15803,-123.715994,43.001525,Culvert,Unknown,108847.2,0.1
3,455,1579,-123.7317989,43.03084731,Culvert,Blocked,108847.2,0.1
3,455,1581,-123.7348952,43.0361506,Culvert,Blocked,108847.2,0.1
3,455,3577,-123.7238876,43.01254444,Culvert,Partial,108847.2,0.5
3,455,27492,-123.725749,43.00780897,Culvert,Blocked,108847.2,0.1
3,459,23564,-123.9643262,43.06872356,Culvert,Blocked,108847.2,0.1
3,459,9055,-123.8994719,43.09862307,Falls,Partial,455041.93,0.5
3,461,9929,-123.988888,43.33239267,Falls,Blocked,455041.93,0.1
3,462,16909,-123.902871,43.009239,Culvert,Unknown,108847.2,0.1
3,463,1206,-123.6698901,43.07924855,Culvert,Blocked,108847.2,0.1
3,467,1186,-123.7017151,43.08380485,Culvert,Passable,108847.2,1
3,467,3574,-123.6915639,43.06931369,Culvert,Partial,108847.2,0.5
3,467,10136,-123.6964488,43.07346047,Culvert,Passable,108847.2,1
3,505,30052,-124.0094672,42.71440596,Culvert,Partial,108847.2,0.5
3,513,27503,-123.8495868,42.95859838,Culvert,UnkAnad,108847.2,0.1
3,513,28304,-123.8495868,42.95859838,Culvert,UnkAnad,108847.2,0.1
3,513,34505,-123.846689,42.9627,Bridge,Unknown,370171,0.1
3,525,4503,-124.0492361,43.24987939,Culvert,Partial,108847.2,0.5
3,532,16387,-124.028783,43.034871,Culvert,Passable,108847.2,1
3,532,27534,-124.0161317,43.05134141,Culvert,Partial,108847.2,0.5
3,533,5533,-124.0408077,43.26351429,Falls,Unknown,455041.93,0.5
3,533,2723,-124.038705,43.26452301,Culvert,UnkAnad,108847.2,0.1
3,533,7555,-124.0412392,43.25957123,Culvert,UnkAnad,108847.2,0.1
3,540,36345,-123.699553,43.031339,Bridge,Unknown,370171,0.1
3,540,7111,-123.7022264,43.0372982,Culvert,Partial,108847.2,0.5
3,545,15943,-123.670836,43.03763,Culvert,Unknown,108847.2,0.1
3,545,36353,-123.684419,43.031325,Bridge,Unknown,370171,0.1
3,548,15942,-123.784412,42.965596,Culvert,Unknown,108847.2,0.1
3,555,14372,-123.73599,42.984419,Culvert,Unknown,108847.2,0.1
3,568,40281,-124.069806,43.036925,Bridge,Unknown,370171,0.1
3,568,2694,-124.0703704,43.03749702,Culvert,UnkAnad,108847.2,0.1
